ParkName,ParkCode,Region,Location,Year,Month,Count
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,2,"2,801"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,3,"4,808"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,4,"4,429"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,5,"15,988"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,6,"32,799"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,7,"40,631"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,8,"32,681"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,9,"23,642"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,10,"5,339"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,11,"3,940"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2017,12,"2,139"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,1,"1,162"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,2,975
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,3,"2,673"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,4,"2,763"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,5,"12,511"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,6,"23,473"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,7,"29,297"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,8,"28,791"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,9,"16,763"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,10,"4,433"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,11,"2,085"
Badlands NP,BADL,Midwest,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2017,12,930
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,1,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,2,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,3,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,4,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,5,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,6,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,7,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,8,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,9,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,10,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,11,0
Bandelier NM,BAND,Intermountain,TRAFFIC COUNT AT ENTRANCE,2017,12,0
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,1,"5,037"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,2,"5,533"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,3,"10,009"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,4,"6,394"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,5,"5,135"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,6,"3,172"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,7,"2,953"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,8,"2,391"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,9,"2,723"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,10,"4,527"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,11,"6,182"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,12,"5,539"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,1,"7,357"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,2,"9,160"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,3,"16,067"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,4,"11,018"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,5,"7,960"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,6,"5,266"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,7,"4,503"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,8,"3,611"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,9,"4,399"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,10,"7,895"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,11,"9,943"
Big Bend NP,BIBE,Intermountain,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,12,"8,974"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,1,"1,076"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT AT BEAR ISLAND,2017,2,"1,013"
